Product Name,Product Image,Review
"Kleeno by Cello Easy Grip Washing Sponge, 1pc, Orange & Yellow",https://m.media-amazon.com/images/I/51bCu1oC8IS._SX300_SY300_QL70_ML2_.jpg,"Sponge quality is not good and it started disintegrating in 5 days only. Also suck quality is not good.
Read more"
"Kleeno by Cello Easy Grip Washing Sponge, 1pc, Orange & Yellow",https://m.media-amazon.com/images/I/51bCu1oC8IS._SX300_SY300_QL70_ML2_.jpg,"Easily cracked/torn on yellow side.
Read more"
